D1-Memory D1-Naive D2-Memory D3-Memory D3-Naive D4-Memory D4-Naive
SNX7 26 2 19 14 1 275 39
AGL 458 476 519 425 522 607 801
RP5-884G6.2 21 35 20 23 52 34 47
SLC35A3 415 469 432 363 731 474 776
MFSD14A 1260 1053 1507 1128 1308 1945 1820
SASS6 641 617 752 513 665 900 898
TRMT13 567 485 704 556 544 762 737
DBT 292 270 299 230 275 359 454
RTCA 1993 2078 2225 1917 2691 2832 2614
CDC14A 156 205 152 121 308 144 217
EXTL2 252 132 196 231 135 456 213
RP4-549L20.3 20 10 18 20 17 43 8
SLC30A7 622 465 679 569 574 752 645
DPH5 627 1342 948 586 1401 874 992
RP11-421L21.2 13 3 18 3 3 11 3
RP11-421L21.3 359 406 960 444 431 579 348
RP4-575N6.4 111 67 277 136 68 229 69
S1PR1 582 635 860 600 659 805 647
RNPC3 423 435 406 401 552 435 612
AMY2B 16 11 17 18 25 22 24
PRMT6 89 59 177 82 66 172 94
VAV3 24 29 31 25 66 19 30
SLC25A24 1297 823 1138 1048 821 1421 872
RP11-483I13.5 24 17 10 26 26 23 15
FAM102B 82 84 83 58 121 36 68
HENMT1 478 225 539 427 267 573 326
PRPF38B 3362 2807 4092 3135 3652 4239 3545
STXBP3 1192 975 1279 1073 1184 1500 1295
RP11-475E11.9 6 4 10 2 8 6 10
GPSM2 320 320 401 259 371 299 321
CLCC1 223 184 242 165 223 251 264
WDR47 128 85 158 123 158 203 191
TAF13 185 129 291 176 129 287 181
RP5-1065J22.8 36 34 47 31 68 43 75
TMEM167B 640 1051 612 665 1712 741 1750
SCARNA2 9 6 8 6 12 12 5
KIAA1324 50 131 38 57 194 82 125
SARS 4027 4316 4509 3528 4606 5841 6243
PSRC1 210 387 262 144 371 239 348
PSMA5 8051 4498 11374 6616 4225 12839 6518
ATXN7L2 47 52 57 48 51 67 82
CYB561D1 73 59 77 59 102 55 76
GNAI3 2444 2442 2960 2377 3158 4313 4015
AMPD2 273 232 222 192 211 265 404
GSTM4 108 67 169 111 108 379 386
GSTM2 9 19 7 7 31 12 32
GSTM3 556 843 353 302 538 851 1782
AHCYL1 1714 640 2104 1494 742 2917 1132
STRIP1 269 227 325 277 341 325 368
RP4-773N10.4 14 7 14 15 7 18 14
KCNC4 170 132 258 192 142 299 200
RBM15 352 319 360 291 393 405 452
SLC16A4 102 51 121 94 71 67 54
RP5-1074L1.4 6 8 12 11 20 5 12
LAMTOR5 7204 9533 8566 6157 11525 9407 13537
RP11-284N8.3 110 31 169 74 13 180 42
KCNA3 213 43 402 164 37 523 97
CD53 5927 5503 7988 5417 6535 7373 8321
RP11-96K19.2 20 43 6 8 47 13 40
LRIF1 1191 823 1324 952 761 1589 1204
RP11-96K19.5 21 9 40 19 7 38 13
DRAM2 1051 1386 1228 907 1914 1079 1548
CEPT1 347 480 396 386 637 487 693
RP5-1180E21.4 4 6 9 4 8 7 4
RP5-1180E21.5 50 38 67 48 55 53 56
DENND2D 2426 1884 3352 2402 2103 3345 2527
CHI3L2 182 230 256 377 482 260 525
WDR77 904 506 1408 797 450 1440 796
ATP5F1 5352 4708 7293 4375 5289 7158 5908
C1orf162 288 161 311 271 177 237 161
RAP1A 8299 6931 9587 8264 9632 10364 8295
FAM212B 52 32 81 58 30 65 46
DDX20 399 293 465 336 373 529 445
WNT2B 30 10 36 28 25 35 16
ST7L 195 125 244 201 137 310 229
CAPZA1 5603 4322 6835 5229 4207 7496 6340
MOV10 710 313 815 671 283 1007 518
RP11-426L16.3 8 2 17 7 3 12 6
RHOC 2677 2821 3208 1956 2591 3663 4148
SLC16A1 1356 639 1439 1135 597 1783 1042
SLC16A1-AS1 1040 440 1221 970 479 1469 843
RP11-31F15.2 21 5 16 10 3 29 8
LRIG2 123 168 123 134 275 133 274
MAGI3 134 91 210 125 81 209 120
PHTF1 709 372 728 472 358 594 487
RSBN1 1087 2052 907 1039 2814 1155 2489
PTPN22 1143 1745 1182 1212 2390 1000 2558
AP4B1-AS1 9 12 9 17 30 4 23
BCL2L15 5 5 9 7 9 8 12
AP4B1 264 230 316 269 207 369 308
DCLRE1B 192 146 230 165 153 315 246
HIPK1-AS1 64 68 67 47 70 75 90
HIPK1 354 425 397 370 476 457 538
TRIM33 603 729 622 591 839 724 930
BCAS2 1779 1883 2167 1690 2382 2465 2865
DENND2C 12 9 13 7 23 9 20
NRAS 693 777 809 648 1176 950 1231
CSDE1 4802 6065 5248 4167 8846 5781 7565
SIKE1 1436 1732 1542 1409 2331 1743 2689
TSPAN2 103 79 28 55 67 41 69
VANGL1 129 56 201 168 70 132 38
ATP1A1 1650 1216 2416 1519 1775 2070 1507
CD58 1815 684 1880 1359 627 1826 675
CD2 16920 13695 20259 17673 15648 21368 25175
CD101 12 48 41 33 150 19 59
TTF2 1372 966 1597 1086 893 1770 1412
RP11-188D8.1 7 8 13 2 6 4 9
MAN1A2 644 537 739 648 724 665 750
FAM46C 222 179 222 240 270 207 300
GDAP2 227 180 287 214 226 243 292
WDR3 676 481 763 495 485 931 842
WARS2 284 422 379 293 573 430 617
RP11-418J17.1 75 25 95 63 26 66 37
PHGDH 2431 3486 4514 2930 3356 4246 6019
REG4 2 48 14 2 169 1 71
NOTCH2 314 328 318 306 424 475 526
SEC22B 1066 766 1391 996 664 1337 1266
AC253572.1 69 103 92 62 164 128 320
NBPF26 47 38 74 49 66 122 124
AC241377.2 11 33 3 3 6 10 4
LINC00623 220 198 317 178 222 313 388
SRGAP2C 334 175 324 243 181 339 247
RP11-344P13.6 50 28 68 45 36 74 33
RP11-403I13.7 15 6 19 7 6 12 12
RP11-14N7.2 130 138 62 93 143 218 262
RP11-763B22.4 23 64 32 21 78 25 73
NBPF15 134 82 219 124 100 198 171
SRGAP2B 280 167 253 215 149 285 193
AC241585.2 23 44 23 30 54 42 50
CH17-373J23.1 236 55 314 250 47 459 78
RP11-89F3.2 15 45 20 14 66 11 35
NBPF20 40 24 46 56 40 61 39
GPR89A 272 185 322 243 200 303 267
RNF115 1044 1625 1139 1022 2292 1300 1730
POLR3C 408 434 435 432 651 589 615
NUDT17 21 39 20 16 51 27 47
PIAS3 158 143 140 124 157 165 213
ANKRD35 26 25 79 37 27 64 80
ITGA10 20 5 18 16 9 41 12
PEX11B 377 251 511 315 248 567 302
RBM8A 9030 6032 11891 6875 6974 13349 9277
RP11-315I20.1 27 34 15 24 29 28 27
LIX1L 908 1229 1162 973 1295 1356 1749
ANKRD34A 24 35 29 21 45 37 75
POLR3GL 1658 1515 1958 1661 1682 2195 2398
TXNIP 4705 1943 4325 3975 2541 7103 3125
NBPF10 74 51 52 76 48 97 108
NOTCH2NL 94 105 68 55 130 74 174
CH17-353B19.1 10 5 8 8 14 18 14
NBPF12 242 174 176 126 118 163 169
PRKAB2 215 274 197 244 317 276 420
RP11-337C18.8 82 36 102 84 42 100 48
FMO5 22 7 21 17 2 25 14
CHD1L 834 695 931 728 793 1142 1009
BCL9 80 91 112 85 129 130 118
ACP6 185 184 79 149 171 126 176
GPR89B 193 132 174 147 142 203 172
NBPF11 73 79 102 76 107 120 141
LINC01138 205 206 177 161 198 207 248
RP11-495P10.1 34 30 45 29 56 31 35
AC245100.1 283 427 283 211 520 424 638
PPIAL4G 6 9 9 12 28 12 20
NBPF14 424 480 427 347 553 421 614
PDE4DIP 540 470 377 413 639 545 973
NBPF9 98 74 89 97 75 158 142
CH17-189H20.1 912 1001 1068 694 1031 1186 1161
RP11-326G21.1 27 20 28 26 14 25 16
NBPF19 322 255 288 220 250 165 233
LINC00869 516 417 720 476 562 771 694
FAM231D 35 25 40 31 31 46 36
HIST2H2BF 36 14 42 36 30 60 39
HIST2H2BE 34 21 40 61 40 69 36
RP11-196G18.24 7 15 7 14 31 15 25
HIST2H4B 9 5 5 9 9 13 18
RP11-196G18.23 17 22 32 20 33 40 33
HIST2H2AC 1653 1287 1921 1340 1189 1994 1897
HIST2H2AB 16 23 24 11 24 15 26
BOLA1 696 617 817 591 716 974 1015
SV2A 182 129 290 186 115 283 205
SF3B4 1246 788 1851 1066 893 1912 1037
OTUD7B 464 467 482 426 650 651 835
VPS45 259 141 256 192 163 327 208
PLEKHO1 934 710 1262 858 771 1211 557
ANP32E 9161 8816 11508 7763 8217 13624 13383
APH1A 2014 1571 2597 1813 1849 2758 2045
C1orf54 38 35 43 30 47 48 49
CIART 78 232 62 140 413 136 335
MRPS21 5997 5603 7485 5396 6931 8899 8953
PRPF3 650 622 818 560 803 1099 772
RPRD2 399 321 431 389 449 514 500
TARS2 541 410 597 463 394 744 597
FALEC 10 4 9 7 16 13 22
MCL1 3867 3713 3789 4062 4891 5335 6925
ENSA 4861 3156 6667 3833 2941 7347 4485
GOLPH3L 457 408 458 458 415 518 720
CTSS 2466 2123 2451 2147 2185 3577 3073
CTSK 15 10 17 8 4 7 11
ARNT 228 432 250 242 610 279 489
SETDB1 201 297 257 228 367 293 409
CERS2 1135 766 1626 993 800 1458 999
FAM63A 114 188 125 122 263 150 353
PRUNE 100 101 124 94 149 111 162
C1orf56 1025 652 1233 936 732 1180 678
CDC42SE1 2177 1374 3118 2066 1547 3024 1793
MLLT11 217 232 274 214 252 313 417
GABPB2 330 377 276 288 376 314 403
TNFAIP8L2 543 366 725 560 457 867 531
SCNM1 1150 1355 1415 1258 1895 1680 2122
LYSMD1 28 58 42 23 101 33 84
VPS72 840 842 1037 806 1084 1167 1270
PIP5K1A 442 433 556 438 494 728 590
PSMD4 5335 4626 6812 4780 5138 7567 6715
ZNF687 161 116 186 154 98 224 173
PI4KB 634 473 706 583 571 751 659
RFX5 582 391 805 609 326 991 492
RP11-126K1.6 62 45 120 54 59 132 62
PSMB4 2564 2186 3565 2167 2520 3545 2991
POGZ 698 740 765 654 960 937 1180
TUFT1 69 29 105 82 33 136 104
SNX27 567 503 761 540 639 945 793
MRPL9 3228 3263 4010 2745 3750 4345 4355
TDRKH 222 152 204 153 107 261 204
RP11-98D18.9 45 53 51 64 89 70 94
C2CD4D 270 86 281 181 72 376 178
THEM4 687 485 1205 707 600 1242 1009
S100A10 25094 20291 21467 16362 21379 31488 30895
S100A11 46298 19872 53808 38823 16676 79256 41716
S100A6 42365 21642 63377 43041 25718 84225 47729
S100A5 63 84 97 80 121 155 124
S100A4 12815 7036 22182 17289 8355 24675 20859
S100A13 185 113 179 176 189 318 317
RP1-178F15.4 11 8 17 27 16 22 16
CHTOP 1994 1471 2450 1775 1627 2827 2101
SNAPIN 1637 1525 1983 1368 1764 2382 2364
ILF2 5667 4675 7758 4864 4429 8630 5909
INTS3 319 391 334 296 444 387 589
SLC27A3 58 30 62 53 48 44 35
GATAD2B 479 635 574 508 854 635 665
DENND4B 322 306 392 324 392 509 498
CRTC2 266 356 342 305 368 447 438
SLC39A1 2134 1513 2627 1916 1588 3433 2845
RP11-422P24.12 37 29 41 29 34 47 56
CREB3L4 171 140 186 139 163 240 189
JTB 6416 4965 8378 5660 5756 8741 7504
RP11-422P24.11 17 20 20 12 35 29 31
RAB13 224 1264 171 625 1918 329 3316
RPS27 110663 160687 118018 108708 241500 112323 196892
TPM3 12520 9324 16398 10620 10463 19643 14859
C1orf43 4727 5162 5965 4216 6611 7092 7574
UBAP2L 846 721 1065 662 786 1285 1269
HAX1 5266 4559 6565 4585 5944 8391 7085
ATP8B2 186 140 278 169 153 297 277
RP11-350G8.5 13 3 19 15 3 7 9
IL6R 329 101 383 278 150 300 222
UBE2Q1 846 938 1106 852 1153 1262 1378
ADAR 3907 3401 4295 3661 3301 5365 6120
PMVK 2329 1211 2954 1974 1351 3167 2142
RP11-307C12.13 13 10 9 12 22 18 13
PBXIP1 821 859 907 903 898 953 1179
PYGO2 251 150 298 221 132 272 175
RP11-307C12.12 83 53 84 59 47 105 75
SHC1 206 165 272 194 162 363 293
CKS1B 7695 9318 10180 6496 9165 12199 13449
FLAD1 634 263 1004 601 307 1129 538
ZBTB7B 447 394 479 396 371 607 495
RP11-307C12.11 18 9 17 15 15 30 17
ADAM15 273 135 328 189 123 343 242
EFNA4 151 458 156 196 535 174 653
EFNA3 158 503 95 171 789 244 903
SLC50A1 1776 1370 1787 1720 1155 1912 1850
DPM3 961 1331 1219 853 1597 1214 1647
KRTCAP2 2686 2306 3302 2468 2699 3298 2910
TRIM46 96 89 114 90 116 168 179
THBS3 60 49 67 46 56 78 71
MTX1 1346 1057 1746 1176 1109 2027 1891
GBA 213 163 338 200 183 326 251
FAM189B 357 365 399 349 544 466 632
SCAMP3 1052 918 1212 899 804 1403 1277
CLK2 163 157 179 140 205 219 252
HCN3 29 6 26 13 5 44 9
FDPS 5260 3654 6712 5089 3806 6782 5468
RUSC1-AS1 15 8 17 15 20 34 15
RUSC1 453 264 570 414 346 738 537
ASH1L 1800 1206 2043 1726 1568 2023 1950
ASH1L-AS1 134 95 174 124 113 235 154
MSTO1 212 126 351 195 136 336 214
YY1AP1 529 616 641 494 692 835 900
DAP3 2321 2413 3034 2078 2892 3039 2940
GON4L 1055 818 1270 988 1002 1314 1277
SYT11 935 596 1040 886 706 1334 1049
RIT1 621 765 597 579 1070 821 1347
KIAA0907 764 904 751 759 1127 928 1136
ARHGEF2 599 571 647 528 659 791 761
RP11-336K24.12 40 42 59 40 39 79 49
SSR2 6763 9013 7014 6173 11797 6976 10281
UBQLN4 202 102 219 164 89 256 176
LAMTOR2 3366 2591 4533 2944 2769 4711 4071
RAB25 4 7 5 10 46 6 9
LMNA 8334 4335 9898 6048 2645 14475 7061
SLC25A44 269 178 302 268 194 332 261
PMF1-BGLAP 14 16 10 14 9 19 8
PMF1 2708 2654 3136 2419 2860 3373 3868
BGLAP 25 17 17 38 17 66 30
PAQR6 35 26 20 18 42 30 31
SMG5 255 197 360 271 295 383 316
TMEM79 111 161 164 107 158 195 233
GLMP 240 247 299 220 343 314 310
CCT3 5622 3704 8034 4977 5295 8549 5117
TSACC 13 17 20 15 18 22 16
MEF2D 147 229 179 167 342 153 248
APOA1BP 1228 865 1897 1005 778 1641 1429
GPATCH4 1252 603 2082 1043 460 1984 1335
AL365181.2 15 17 14 20 14 9 7
ISG20L2 592 302 706 491 332 833 454
RRNAD1 563 446 605 526 506 708 612
MRPL24 1510 1057 2090 1254 1056 1991 1694
HDGF 1849 1291 2168 1476 1287 2764 2134
PRCC 965 806 1242 864 810 1493 1182
SH2D2A 3803 2648 3552 2981 1987 4067 4820
ETV3 203 384 200 175 467 279 549
PYHIN1 983 198 992 942 309 1056 479
IFI16 12601 14131 14979 11926 13219 14384 22472
DUSP23 1158 823 1560 897 869 1429 1230
VSIG8 7 7 12 10 22 10 10
TAGLN2 13507 11292 15582 11752 11291 20011 16239
PIGM 128 135 152 127 181 161 199
IGSF8 555 350 800 572 578 864 575
PEA15 584 366 726 464 493 890 615
DCAF8 663 518 752 605 597 988 818
RP11-574F21.2 17 9 21 8 5 27 25
PEX19 427 460 569 423 474 619 654
COPA 1272 1293 1350 1215 1403 1645 1729
NCSTN 411 300 513 369 372 580 497
NHLH1 13 3 14 5 5 13 7
SLAMF6 328 199 353 311 189 610 530
CD84 662 240 849 633 228 1352 430
SLAMF1 3259 1757 3332 2970 1619 6302 4082
RP11-404F10.2 146 72 91 86 52 200 223
CD48 4317 5938 6207 4470 9519 7889 7448
SLAMF7 92 169 79 142 179 206 436
LY9 92 202 112 111 362 105 183
F11R 212 334 203 283 395 225 469
TSTD1 8130 8163 7653 7782 8786 10932 11455
USF1 42 32 64 26 40 64 60
ARHGAP30 3391 2696 4136 3348 3018 4970 3930
KLHDC9 73 35 72 76 35 125 57
PFDN2 6600 6246 8165 6238 6847 9242 10147
NIT1 1024 711 1103 966 800 1452 1227
DEDD 361 382 452 375 558 491 572
UFC1 3719 4528 4752 3656 6050 4884 5985
RP11-297K8.2 6 10 4 7 24 5 10
USP21 66 83 88 77 95 80 98
PPOX 386 420 447 301 442 445 497
B4GALT3 760 837 993 701 1154 929 961
ADAMTS4 7 7 8 13 14 21 21
NDUFS2 3434 3278 4287 3337 3680 4862 4779
FCER1G 110 25 48 65 13 70 8
TOMM40L 144 53 222 143 59 227 95
MPZ 41 50 51 47 65 86 84
SDHC 3694 2752 4517 3162 2797 5039 4134
DUSP12 792 578 1032 702 711 1260 998
ATF6 960 605 1099 1032 782 1316 940
UHMK1 1492 1484 1658 1393 2147 1872 2139
UAP1 732 641 780 611 800 970 1085
HSD17B7 536 549 676 612 689 717 1024
RGS5 25 29 31 32 44 27 30
RGS5.1 33 40 38 22 39 14 28
NUF2 1697 1778 2230 1355 1677 2474 2428
MGST3 4709 2526 5810 5145 2932 7153 3564
ALDH9A1 933 827 1227 791 803 1269 966
TMCO1 3646 2740 4318 3083 3021 4912 3766
RP11-466F5.8 7 9 0 7 11 8 16
UCK2 553 277 917 483 237 1045 570
POGK 536 339 695 521 374 1014 526
TADA1 166 157 194 159 233 237 240
GPA33 2 7 5 6 11 10 4
RP11-277B15.3 7 17 11 10 27 16 29
POU2F1 363 472 365 343 633 493 591
CD247 2675 4089 2494 2561 5061 2853 4122
RP11-104L21.3 18 23 14 19 33 17 27
CREG1 478 278 391 347 321 515 429
RP3-455J7.4 34 52 22 22 52 36 55
RCSD1 1602 1892 2157 2024 2464 2248 2517
MPZL1 465 315 652 587 467 789 1166
MPC2 3878 4051 5216 3758 5489 5143 5964
DCAF6 642 395 753 597 482 875 561
GPR161 86 13 74 81 28 187 53
TIPRL 2244 2304 2952 2267 2408 3777 3242
SFT2D2 449 312 537 435 403 702 544
TBX19 31 28 33 27 57 44 49
XCL1 17 39 4 50 185 16 45
ATP1B1 412 1468 157 340 1968 341 1882
NME7 639 520 619 437 606 736 574
BLZF1 477 374 499 325 398 557 316
SLC19A2 56 25 64 40 63 53 44
F5 568 670 938 758 899 1472 2276
C1orf112 400 288 484 335 292 515 450
SELL 2170 5007 3425 3004 7704 3398 9674
METTL18 392 321 454 394 449 323 367
SCYL3 282 208 348 300 277 337 286
KIFAP3 774 596 688 675 669 854 828
GORAB 216 267 284 186 314 265 334
FMO4 36 29 50 28 34 39 61
PRRC2C 7325 8001 8959 6818 9666 10658 10842
VAMP4 722 1262 573 649 2258 738 1626
METTL13 1462 1575 1899 1557 2180 2183 2368
DNM3 60 50 101 90 122 84 74
PIGC 825 756 973 684 836 1123 997
SUCO 421 601 455 451 959 603 974
FASLG 113 24 45 64 19 155 101
TNFSF4 72 145 67 61 108 91 61
RP11-296O14.3 94 40 87 84 41 109 55
PRDX6 4257 4530 5499 3779 5617 5364 6167
KLHL20 284 297 348 257 310 317 371
CENPL 445 479 469 365 547 537 580
DARS2 215 155 258 154 115 290 236
ZBTB37 184 157 164 165 229 208 241
RC3H1 291 318 283 290 468 346 500
RP11-160H22.5 13 9 8 10 14 20 27
RABGAP1L 1146 1384 1324 1125 2334 1218 1527
CACYBP 13861 13872 17908 11069 15910 18705 16090
MRPS14 2155 2068 2854 2032 2080 2616 2810
KIAA0040 775 418 1287 889 593 1793 1097
RFWD2 571 534 690 595 591 812 653
C1orf220 8 2 8 3 12 15 8
RALGPS2 31 104 35 51 265 42 156
FAM20B 167 241 228 170 214 245 288
TOR3A 1472 807 2382 1258 858 2305 1119
ABL2 213 184 193 190 251 216 306
SOAT1 427 249 590 341 287 600 356
TOR1AIP2 1007 757 1259 987 987 1464 1142
RP11-533E19.7 17 38 24 23 76 20 62
TOR1AIP1 1195 1044 1380 1091 1166 1538 1530
RP11-533E19.5 19 37 21 16 39 25 42
CEP350 1630 1864 1780 1469 2135 1926 2666
QSOX1 720 273 1005 595 312 1018 676
ACBD6 1486 1349 1987 1405 1500 2069 2201
XPR1 155 104 196 137 114 190 113
KIAA1614-AS1 17 10 23 12 5 17 7
STX6 474 775 501 526 1116 604 1002
MR1 393 313 469 394 324 506 417
IER5 889 1026 918 942 1238 1133 1245
GLUL 1809 1215 1220 1563 2215 1943 2391
RNASEL 97 97 83 94 117 117 139
RGS16 2617 2693 1327 2251 3538 3396 3762
NPL 77 52 113 78 42 114 66
DHX9 1665 990 2393 1399 1191 2304 1583
SMG7 468 469 554 432 658 724 777
NCF2 594 607 756 712 375 1652 1403
ARPC5 13811 8705 19390 11234 7592 20580 13422
RGL1 36 23 59 26 37 79 57
COLGALT2 68 47 48 48 47 79 62
TSEN15 1259 711 1856 1025 543 1943 1074
C1orf21 495 153 130 120 142 143 146
EDEM3 279 129 288 277 155 343 172
FAM129A 1467 465 1730 938 242 1851 438
RNF2 433 504 455 395 871 577 555
TRMT1L 518 455 616 515 461 885 672
SWT1 125 112 126 134 201 213 264
IVNS1ABP 4299 8258 2891 3732 12891 3266 9395
PRG4 270 103 493 526 209 530 2139
TPR 6587 6674 7998 6296 8297 9280 10608
C1orf27 467 504 549 494 764 695 919
LINC01037 10 11 9 5 8 8 6
RGS1 7133 5904 9082 6610 8009 8710 6999
RGS2 248 698 350 615 1801 382 1133
UCHL5 1751 1115 2141 1418 997 2538 2032
TROVE2 2008 1709 2061 1878 2080 2284 2351
RP11-101E13.5 8 3 13 5 7 13 7
GLRX2 1291 797 1862 1073 788 2042 1134
CDC73 1548 1654 1886 1379 2046 2431 2575
CFH 39 5 8 19 0 13 0
ZBTB41 169 182 136 162 304 181 343
DENND1B 742 723 801 682 983 1182 988
NEK7 872 1612 880 798 2193 1182 2007
PTPRC 8628 13557 9694 8323 18095 9121 17912
MIR181A1HG 55 135 65 55 212 50 226
ZNF281 580 714 648 525 1026 772 861
KIF14 472 552 735 427 523 598 544
DDX59 751 785 717 631 953 989 1027
RP11-92G12.3 15 8 51 37 40 44 43
CAMSAP2 187 168 262 198 183 303 256
C1orf106 103 87 190 161 54 110 69
KIF21B 258 289 254 230 360 288 389
RP11-168O16.1 36 12 13 12 6 19 29
TMEM9 678 947 695 687 1332 750 1690
PHLDA3 209 168 254 207 247 192 267
CSRP1 898 695 1067 781 739 1237 1099
RP11-134G8.7 33 24 61 35 23 77 45
RP11-134G8.5 112 76 98 106 88 155 146
NAV1 25 24 20 18 20 30 22
IPO9-AS1 14 13 23 9 15 27 11
IPO9 649 417 770 584 435 885 672
TIMM17A 1879 1264 2670 1572 1452 2820 2045
RNPEP 1304 834 1406 972 687 1212 1002
ARL8A 598 375 736 528 495 903 589
PTPN7 2717 2302 3013 2210 2442 3518 2980
UBE2T 3738 2445 4897 2817 2003 4620 3698
PPP1R12B 181 176 173 166 213 147 228
KDM5B 681 902 683 708 1283 744 1278
PCAT6 50 136 22 47 213 33 133
RABIF 1006 534 1306 884 672 1465 772
KLHL12 460 372 560 401 446 538 508
ADIPOR1 1566 1546 1908 1384 2054 2011 2188
CYB5R1 332 223 419 293 246 437 379
TMEM183A 1375 1751 1850 1418 2665 2160 2508
BTG2 1106 1082 1093 1241 1479 1187 2056
ATP2B4 877 395 943 758 369 906 798
LAX1 452 388 496 448 457 527 476
ZC3H11A 1234 1059 1431 1235 1262 1592 1431
ZBED6 357 454 407 325 637 418 653
SNRPE 10483 10868 14211 8826 13072 15257 17238
ETNK2 20 10 24 24 21 24 13
PPP1R15B 458 450 562 464 776 520 753
PIK3C2B 59 73 99 85 107 96 205
MDM4 1386 1701 1449 1397 2240 1491 2390
RP11-430C7.4 5 2 3 9 6 9 8
TMEM81 6 6 6 4 10 4 10
RBBP5 387 419 556 388 613 556 634
DSTYK 196 208 214 205 329 287 338
TMCC2 10 33 11 8 36 31 77
NUAK2 28 72 21 29 102 17 94
CDK18 57 88 38 47 44 56 85
MFSD4 40 102 42 34 111 31 124
ELK4 633 660 891 667 962 924 1003
NUCKS1 8018 8781 9363 6919 9144 11143 12161
RAB29 1295 771 1907 1177 659 2633 1447
SLC41A1 257 337 314 243 433 343 533
SRGAP2 229 128 267 198 130 317 210
IKBKE 363 433 477 496 583 559 740
RP11-534L20.5 4 9 8 6 1 15 19
RASSF5 1883 2620 2343 1863 3705 2572 3982
EIF2D 843 1065 1058 732 1351 1386 1497
MAPKAPK2 494 296 594 478 329 793 478
IL24 67 79 56 81 100 120 551
FCMR 92 75 141 183 211 139 151
PFKFB2 3 7 9 8 9 8 8
YOD1 55 98 65 69 151 68 77
C4BPB 29 225 26 23 193 47 149
CD55 941 4980 1027 1101 6329 1469 3633
CD46 1700 1451 1864 1710 1670 2124 2135
C1orf132 126 94 89 107 142 118 155
RP1-28O10.1 248 174 126 216 169 236 331
TRAF3IP3 5707 6159 5431 5094 6814 6755 7217
C1orf74 64 53 75 63 88 106 127
DIEXF 337 463 329 290 848 431 731
HHAT 11 18 12 13 38 20 27
RCOR3 414 764 428 438 1210 498 884
TRAF5 608 583 700 731 763 715 614
LINC00467 315 265 292 306 378 266 232
SLC30A1 63 94 84 54 112 79 140
LPGAT1 430 330 540 357 387 390 419
INTS7 472 269 588 448 235 616 557
PPP2R5A 959 825 1077 1000 1212 1247 1265
TMEM206 312 179 477 267 238 406 288
NENF 3155 2672 3854 2654 3528 4175 3614
RP11-61J19.5 31 18 38 35 32 78 33
ATF3 1435 892 1694 1557 1229 2885 1990
NSL1 1625 906 1840 1551 886 2677 1393
TATDN3 335 211 467 304 265 537 392
FLVCR1-AS1 159 130 197 137 149 301 188
FLVCR1 251 142 263 187 162 274 169
ANGEL2 497 436 569 444 477 668 591
RPS6KC1 188 113 235 195 135 304 236
SMYD2 644 739 728 536 931 916 1133
PTPN14 34 64 64 88 90 48 150
CENPF 3996 5205 6219 3514 4678 4570 5270
KCTD3 24 30 44 28 55 54 61
GPATCH2 554 589 676 513 612 822 690
RRP15 626 466 962 623 516 992 797
LYPLAL1 1303 1116 1294 1146 983 1717 1267
RP11-392O17.2 24 16 13 19 9 24 10
EPRS 3329 3922 3844 3279 4799 4927 6072
BPNT1 404 342 519 375 439 575 513
IARS2 1273 949 1660 1133 1145 1807 1458
RAB3GAP2 595 612 688 609 740 796 949
DUSP10 508 1047 414 452 1272 624 1313
RP11-378J18.9 12 9 11 7 7 17 14
TAF1A 212 201 298 225 224 352 335
TAF1A-AS1 66 89 71 58 111 111 167
MIA3 1149 1222 1283 1197 1598 1636 1885
RP11-378J18.8 24 15 26 12 15 41 9
AIDA 1335 1184 1708 1309 1483 2427 1992
BROX 877 1059 1002 872 1514 1095 1504
RP11-452F19.3 142 236 158 171 393 194 311
DISP1 29 45 31 26 41 40 50
TLR5 14 31 12 34 34 15 19
SUSD4 15 83 42 48 113 37 38
CAPN2 3208 1184 3443 2488 1146 4226 1803
TP53BP2 509 425 746 513 613 912 792
FBXO28 412 400 383 348 433 485 522
DEGS1 2172 936 2683 1649 1068 2874 1112
NVL 560 407 714 506 502 693 553
CNIH4 2665 2087 3250 2251 2829 4322 2945
WDR26 492 572 469 414 648 537 730
CNIH3 33 75 21 30 80 23 85
DNAH14 37 30 55 54 77 58 38
LBR 3086 1579 4302 2667 1866 3523 2143
SRP9 7215 5845 9740 5782 6271 10031 9159
EPHX1 34 24 65 29 28 47 24
RP11-285F7.2 57 57 44 52 77 56 65
TMEM63A 312 334 338 316 438 375 589
PYCR2 2163 1467 2997 1784 1347 3123 2053
SDE2 308 306 353 288 495 435 484
H3F3A 11230 7090 16678 9667 7957 12851 9407
ACBD3 671 779 750 640 919 815 1177
LIN9 183 156 268 148 173 251 215
PARP1 6528 2894 9025 5544 2964 9472 5276
ITPKB 209 318 251 210 486 207 382
ITPKB-AS1 6 9 9 4 11 9 10
PSEN2 111 68 206 122 40 155 48
ADCK3 264 446 352 266 620 334 551
CDC42BPA 138 82 176 149 74 338 253
CTD-2090I13.1 23 35 20 18 52 33 57
ZNF678 124 70 106 99 99 111 102
SNAP47 902 720 1080 873 1125 1225 1198
JMJD4 378 103 523 274 132 555 257
ARF1 7304 6887 9166 6562 8571 10106 9463
C1orf35 1550 1469 1650 1279 1933 1984 2245
MRPL55 1928 2307 2416 1772 2792 2531 3750
